PULocationID,unique_taxi_types,avg_trip_duration_min,borough_encoded,service_zone_encoded
182,3.0,17.136528266479004,0,1
183,2.0,15.442411505689943,0,1
184,1.0,13.535964912280702,0,1
185,2.0,16.677954812206572,0,1
186,3.0,19.50749636098981,3,4
187,2.0,15.441633884080776,5,1
188,3.0,20.088385736537607,1,1
189,3.0,20.748506493506493,1,1
190,2.0,20.10798611111111,1,1
191,3.0,16.755247249477105,4,1
192,2.0,16.434298245614034,4,1
193,3.0,18.67090108401084,4,1
194,1.0,22.608333333333334,3,4
195,3.0,21.43419413919414,1,1
196,3.0,17.156494420428267,4,1
197,3.0,15.990479255973645,4,1
198,3.0,19.156697900077774,4,1
199,1.0,29.133333333333333,0,1
200,2.0,18.192582804792107,0,1
201,2.0,22.419444444444444,4,1
202,2.0,25.289646677927927,3,1
203,2.0,15.87805941448866,4,1
204,2.0,18.163020833333334,5,1
205,3.0,17.147862999475905,4,1
206,2.0,16.022176722176724,5,1
207,1.0,12.083333333333334,4,1
208,3.0,16.209507894991766,0,1
209,3.0,21.46648889761375,3,4
210,3.0,16.094036568213784,1,1
211,3.0,18.859440639269405,3,4
212,3.0,14.81154143959022,0,1
213,3.0,15.692151875514512,0,1
214,2.0,19.3645873015873,5,1
215,3.0,16.39490402836359,4,1
216,3.0,15.013698944271374,4,1
217,2.0,15.841406056093323,1,1
218,3.0,17.396534130235516,4,1
219,3.0,17.274420677361853,4,1
220,3.0,16.115917626891452,0,1
221,2.0,16.197951036904527,5,1
222,3.0,18.629080771549127,1,1
223,4.0,16.636724560188746,4,1
224,2.0,18.558897243107772,3,4
225,3.0,20.30799377475948,1,1
226,3.0,17.50082412732042,4,1
227,3.0,18.70874430580313,1,1
228,3.0,19.318945509986627,1,1
229,3.0,18.10066438191438,3,4
230,3.0,22.179192996313848,3,4
231,3.0,19.668129062209843,3,4
232,3.0,19.485211391119726,3,4
233,3.0,17.920880503144655,3,4
234,3.0,18.145959595959596,3,4
235,3.0,16.40353456749672,0,1
236,3.0,16.533807932263812,3,4
237,3.0,16.341340654312514,3,4
238,3.0,17.51884280593958,3,4
239,3.0,17.583026960784313,3,4
240,1.0,14.826550662878788,0,1
241,3.0,16.65225039184953,0,1
242,3.0,16.06789127837515,0,1
243,3.0,18.130981726675476,3,1
244,4.0,17.90980024968789,3,1
245,2.0,16.610225112440304,5,1
246,3.0,19.261616264582624,3,4
247,3.0,16.29158837699488,0,1
248,3.0,15.380183834614805,0,1
249,3.0,17.9535160877374,3,4
250,3.0,15.724204834605597,0,1
251,2.0,15.426356792717087,5,1
252,2.0,16.957170638861303,4,1
253,1.0,18.969444444444445,4,1
254,3.0,16.287636557714958,0,1
255,3.0,20.812710516103998,1,1
256,3.0,19.80743982000981,1,1
257,2.0,19.782244862417276,1,1
258,3.0,17.956811027535704,4,1
259,3.0,15.5625350877193,0,1
260,4.0,15.666826301043441,4,1
261,3.0,22.883604366538027,3,4
262,3.0,16.878649834613743,3,4
263,3.0,17.14241176264149,3,4
264,1.0,15.744731040564375,6,3
265,3.0,24.589610389610392,6,3
